"Cabinet","Raison sociale","Type","Ville","Dépt","Effectif","Priorité","Clientèle affichée","Contact à joindre","Fonction","Téléphone","Email","Site","SIREN","Réseau","Source contact","Preuve clientèle","Notes"
"Bonduelle & Associes","SOCIETE D'EXPERTISE COMPTABLE BONDUELLE ET ASSOCIES","experts-comptables","Charleville-Mézières","08","20-49","B","Le site ne precise pas sa clientele par secteur : il parle d'entreprises, d'associations, de PME, d'entrepreneurs et de dirigeants, et la page Nos expertises ne cite aucun secteur d'activite.","Samuel Cabart","President au registre, expert-comptable inscrit a l'Ordre depuis 2000","03 24 33 63 50","non trouvé","https://bonduelle-associes.fr/","788397644","","https://bonduelle-associes.fr/","https://bonduelle-associes.fr/nos-expertises/",""
"Cabinet Dumont","CABINET C. DUMONT","experts-comptables","Charleville-Mézières","08","20-49","A","La page Le cabinet liste parmi les clients accompagnes les entreprises commerciales et industrielles, les cooperatives viticoles et agricoles, les artisans et commercants, les professions liberales et les associations.","Pierre Dumont","President au registre, expert-comptable inscrit a l'Ordre","03 24 56 01 01","non trouvé","https://www.dumont-audit-conseil.com/","787320043","","https://annuaire.experts-comptables.org/expert-comptable/2321-cabinet-c-dumont-charleville-mezieres-08000","https://www.dumont-audit-conseil.com/le-cabinet",""
"Colas Wilemme & Associes (CWA)","COLAS WILEMME & ASSOCIES (CWA)","experts-comptables","Sedan","08","20-49","A","Le site annonce accompagner des TPE, PME, artisans commercants, professions liberales ou des groupes de societes, industries et associations, tous secteurs d'activites confondus.","Jean-Baptiste Lecrique","Expert-comptable inscrit a l'Ordre, directeur general au registre","03 24 29 80 81 (bureau de Sedan)","contact@c-w-a.fr","https://c-w-a.fr/","687180109","Reseau H10","https://c-w-a.fr/","https://c-w-a.fr/",""
"Fizalys","FIZALYS AUDIT","experts-comptables","Charleville-Mézières","08","20-49","A","Le site annonce accompagner des TPE et PME de tous secteurs sauf l'agriculture, en citant explicitement des commercants, artisans, industriels ou encore issus de professions liberales.","Sebastien Drapier","Expert-comptable associe, directeur general au registre","03 24 37 69 90","contact@fizalys.fr","https://www.fizalys.fr/","434353504","Reseau H10","https://www.fizalys.fr/","https://www.fizalys.fr/","Même groupe que Ficom Audit (Laurent Podvin) : un seul appel couvre les deux."
"SCP Ledoux Ferri Riou-Jacques Touchon Mayolet","LEDOUX-FERRI-RIOU JACQUES-TOUCHON-MAYOLET","avocats","Charleville-Mézières","08","6-9","B","Le site se dit généraliste et vise « les sociétés, les entreprises, les autorités publiques et les particuliers » sans nommer de secteur, mais liste un domaine « Rural » et l'annuaire Eurojuris du cabinet attribue à Me Mayolet le « Droit rural et viti-vinicole » et à Me Riou-Jacques la « Construction ».","Quentin Mayolet","Avocat associé (droit rural et viti-vinicole, patrimoine) ; gérant selon le registre","03 24 33 77 55","non trouvé","https://www.avocats-ardennes-eurojuris.com/","305379000","Eurojuris","https://www.eurojuris.fr/annuaire/cabinets/scp-ledoux-ferri-riou-jacques-touchon-748.htm","https://www.avocats-ardennes-eurojuris.com/cabinet-avocat-charleville-sedan-ardennes-08","Eurojuris attribue à Quentin Mayolet le droit rural et viti-vinicole et à Sylvie Riou-Jacques la construction : angle production à tester."
"Groupe Prieur","PRIEUR ET ASSOCIES (GROUPE PRIEUR)","experts-comptables","Troyes","10","100-199","A","Le site affiche une clientèle multisectorielle qui inclut explicitement l industrie, l agriculture et la viticulture : « nous intervenons dans tous les secteurs de la vie economique: commerce, artisanat, services, industrie, agriculture, viticulture, professions liberales, associations, secteurs public et para-public » (viticulture = production).","David Becard","Expert-comptable et commissaire aux comptes associe (liste des associes du site) ; administrateur au registre","03 25 73 95 95","contact@groupe-prieur.fr","https://groupe-prieur.fr","320475072","","https://groupe-prieur.fr/","https://groupe-prieur.fr/nos-services",""
"Groupe SECC (marques SECC, RTA, COFIVA)","SOCIETE D'EXPERTISE COMPTABLE DE CHAMPAGNE (SECC)","experts-comptables","Troyes","10","50-99","A","La page d accueil affiche une clientele multisectorielle incluant explicitement l industrie, le BTP et le transport, aux cotes du commerce, de l agriculture, de l artisanat, de l immobilier, des professions liberales et des associations.","Bruno Carsenti","president selon le registre ; aucun nom de dirigeant n est affiche sur le site, qui annonce seulement 7 experts-comptables","03 25 43 51 50","contact@groupesecc.fr","https://www.groupesecc.fr","582880381","","https://www.groupesecc.fr/contact","https://www.groupesecc.fr/",""
"Cabinet EGELE & Associes","CABINET EGELE ET ASSOCIES","experts-comptables","Troyes","10","20-49","B","Le site ne precise pas sa clientele par secteur : il s adresse aux entrepreneurs et aux entreprises depuis plus de 50 ans, en comptabilite, fiscalite, social, juridique, patrimoine et audit, sans nommer d industrie, de BTP, de transport ni de production.","Pierre-Joseph Egele","Gerant au registre ; inscrit a l annuaire de l Ordre comme expert-comptable (fiche « EGELE PIERRE »), fonction non affichee sur le site","03 25 81 42 72","info@cabinet-egele.fr","https://www.cabinet-egele.fr","420747891","","https://www.cabinet-egele.fr/","https://www.cabinet-egele.fr/",""
"IFAC","INSTITUT FISCALITE AUDIT & COMPTABILITE (IFAC)","experts-comptables","Épernay","51","20-49","A","Le site a une rubrique « Votre secteur d activite » avec une page dediee BTP et automobiles qui affiche « Notre cabinet accompagne au quotidien les entrepreneurs et dirigeants professionnels du BTP et de l automobile », ainsi qu une page dediee viticulture (production), aux cotes de commerce, artisanat, professions liberales et restauration-hotellerie.","Stephane Billard","Associe Expert-Comptable (affiche sur le site) ; gerant au registre","03 26 54 20 22","non trouvé","https://www.ifac-compta.com","344041165","","https://www.ifac-compta.com/","https://www.ifac-compta.com/votre-secteur-dactivite/btp-automobiles",""
"Nord Est Compta","NORD EST COMPTA","experts-comptables","Reims","51","20-49","A","La page d accueil segmente sa clientele et cite explicitement les artisans et commerçants du BTP, aux cotes de l automobile, de la boulangerie, de la coiffure et de la fleuristerie, ainsi que des createurs et startups, des PME, des groupements et holdings et des professions liberales (avocats, medecins, notaires, architectes) : il s agit d artisanat du batiment, pas d industrie lourde.","Marco Carteni","Expert-comptable associé (site)","03 26 79 39 40","non trouvé","https://nordestcompta.com","326660503","","https://nordestcompta.com/qui-sommes-nous/","https://nordestcompta.com/","Autres associés publiés : Pascal Guimard, Nathalie Jeulin, Stéphane Gobance, Oriane Richard, Thomas Graftiaux."
